199,EFFIEL,2,5,1,2.74,0,1,0,0,1,0,0
200,"PR CLUB EL HAYAT",4,6,1,4.01,0,1,0,0,0,0,0
201,"EL PHISTONE RESORT MARSA ALAM",4,11,1,4.37,1,0,1,1,0,1,0
202,"EL SAMAKA BEACH",3,5,1,2.8,0,1,0,0,1,1,0
203,"EL SAMAKA COMFORT",3,5,1,2.7,0,1,1,0,1,1,0
204,"ELARIA BEACH RESORT NUWEIBA",4,12,1,3.67,0,1,1,0,0,1,0
205,"ELYSEES HURGADA RESORT",4,5,1,4.04,0,1,0,0,0,1,0
206,"GOLDEN 5 EMERALD RESORT",5,5,1,3.9,1,0,1,0,0,1,0
208,"FALCON HILLS",3,6,1,4.27,0,1,1,1,0,0,0
210,"FALCON NAAMA STAR",3,6,1,4.21,1,0,0,0,1,0,0
211,FANTAZIA,3,6,1,3.74,1,0,0,0,0,0,0
212,"FESTIVAL LE JARDIN RESORT",5,5,1,4.2,1,0,1,0,0,1,0
213,"FESTIVAL RIVIERA HOTEL",5,5,1,4.27,0,1,1,0,0,1,0
214,"NEELAMS THE GLITZ",4,18,3,4.55,0,1,0,1,1,0,0
215,"FLAMENCO BEACH RESORT",4,11,1,4,0,1,1,0,0,1,0
216,"FORTUNA 5* HRG",5,5,1,0,0,0,0,0,0,0,0
217,"FORTUNA 5* SSH",5,6,1,0,0,0,0,0,0,0,0
218,"FOUR SEASONS RESORT SSH",5,6,1,4.99,0,1,0,1,0,1,1
219,"PRINCESS RESORT (FRIENDSHIP)",2,5,1,3.68,1,0,0,0,1,0,0
220,"GAFY RESORT (EX. DAYS INN GAFY RESORT)",4,6,1,4.14,1,0,1,0,1,1,0
221,"GANET SINAI RESORT",3,10,1,3.94,0,1,1,0,0,1,0
222,"GARDENIA PLAZA RESORT",4,6,1,3.38,1,0,0,0,0,0,0
223,"GHAZALA BEACH",4,6,1,4.14,1,0,1,0,1,1,0
224,"GHAZALA GARDENS",4,6,1,4.32,1,0,1,0,1,0,0
225,"GIFTUN AZUR",3,5,1,4.49,1,0,1,0,1,1,0
